id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone2,ramal2,whatsapp,email,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Abaetetuba,DPE,público,Jurídico,Regional,,Travessa,Santos Dumont,s/n,,,Centro,Abaetetuba,1500107,PA,68440000,91,981228261,,,,,,,,,,,,,,"-1,7221575","-48,8826913",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Acará,DPE,público,Jurídico,Regional,,Avenida,Gov. Fernando Guilhon,7,,,Centro,Acará,1500206,PA,68690000,91,985863848,,,,,,,,,,,,,,"-1,958523","-48,20867550000001",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Afuá,DPE,público,Jurídico,Regional,,Praça,Albertino Baraúna,1,,,Centro,Afuá,1500305,PA,68890000,,,,,,,,,,,,,,,,"-0,1572135","-50,3913125",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Alenquer,DPE,público,Jurídico,Regional,,Travessa,Santo Antônio,s/n,,,Centro,Alenquer,1500404,PA,68200000,93,984039663,,,,,,,,,,,,,,"-1,9535649","-54,7417641",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Altamira,DPE,público,Jurídico,Regional,,Travessa,Edilson Rodrigues de Souza,3600,,,Esplanada do Xingu,Altamira,1500602,PA,68372170,93,981148158,,,,,,,,,,,,,,"-3,210381","-52,2157345",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Augusto Corrêa,DPE,público,Jurídico,Regional,,Rua,Anastácio de Brito,275,,,Cidade Nova,Augusto Corrêa,1500909,PA,68610000,91,985861496,,,,,,,,,,,,,,"-1,0219495","-46,6414482",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Bagre,DPE,público,Jurídico,Regional,,Avenida,Barão do Rio Branco,s/n,,,Centro,Bagre,1501105,PA,68475000,91,985862304,,,,,,,,,,,,,,"-1,9030055","-50,2073008",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Baião,DPE,público,Jurídico,Regional,,Praça,Santo Antônio,199,,,Centro,Baião,1501204,PA,68465000,91,985862652,,,,,,,,,,,,,,"-2,7907204","-49,6700627",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Barcarena,DPE,público,Jurídico,Regional,,Rua,Cantídio Nunes,986,,,Centro,Barcarena,1501303,PA,68445000,91,984056067,,,,,,,,,,,,,,"-1,5132618","-48,6173014",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Belterra,DPE,público,Jurídico,Regional,,Avenida,Presidente Vargas,2720,,,Aparecida,Belterra,1501451,PA,68040060,93,35125302,,,,,,,,,,,,,,"-2,6373944","-54,9357911",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Benevides,DPE,público,Jurídico,Regional,,Rua,João Franjas,126,,,Centro,Benevides,1501501,PA,68795000,91,37242082,,,,,,,,,,,,,,"-1,3633287","-48,2491488",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Bonito,DPE,público,Jurídico,Regional,,Rua,Dep. Charles Assad,374,,,Centro,Bonito,1501600,PA,68645000,,,,,,,,,,,,,,,,"-1,3630634","-47,3068786",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Bragança,DPE,público,Jurídico,Regional,,Rua,Doutor Roberto,695,,,Alegre,Bragança,1501709,PA,68600000,91,981568827,,,,,,,,,,,,,,"-1,0581501","-46,7678392",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Breu Branco,DPE,público,Jurídico,Regional,,Avenida,Belém,s/n,,,Centro,Breu Branco,1501782,PA,68488000,91,984145650,,,,,,,,,,,,,,"-3,7767965","-49,5685677",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Breves,DPE,público,Jurídico,Regional,,Rua,Mário Curica,365,,,Centro,Breves,1501808,PA,68800000,91,993507459,,981199271,,,,,,,,,,,,"-1,6865694","-50,4855566",Telefone alternativo: (91) 3783-2913
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Bujaru,DPE,público,Jurídico,Regional,,Avenida,Beira-Mar,311,,,Centro,Bujaru,1501907,PA,68670000,,,,,,,,,,,,,,,,"-1,520113","-48,04670429999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Cametá,DPE,público,Jurídico,Regional,,Rua,Trilha da Juventude Tania Lopes,s/n,,,Centro,Cametá,1502103,PA,68400000,91,984177708,,,,,,,,,,,,,,"-2,2428827","-49,4985069",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Canaã dos Carajás,DPE,público,Jurídico,Regional,,Avenida,Carajás,s/n,,,Vale dos Sonhos,Canaã dos Carajás,1502152,PA,68537000,91,985862114,,,,,,,,,,,,,,"-6,5548034","-49,8298756",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Capanema,DPE,público,Jurídico,Regional,,Rua,Dom Pedro II,439,,,Centro,Capanema,1502202,PA,68700013,91,981215442,,981568814,,,,,,,,,,,,"-1,1953249","-47,1789272",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Capitão Poço,DPE,público,Jurídico,Regional,,Avenida,29 de Dezembro,1746,,,Centro,Capitão Poço,1502301,PA,68650000,,,,,,,,,,,,,,,,"-1,7442504","-47,0601751",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Castanhal,DPE,público,Jurídico,Regional,,Rua,Senador Antônio Lemos,946,,,Centro,Castanhal,1502400,PA,68745010,91,974008144,,974001660,,,,,,,,,,,,"-1,2950682","-47,9223325",Telefone alternativo: (91) 98121-7584
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Colares,DPE,público,Jurídico,Regional,,Rua,da República,115,,,Centro,Colares,1502608,PA,68785000,,,,,,,,,,,,,,,,"-0,9299046","-48,28649979999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Conceição do Araguaia,DPE,público,Jurídico,Regional,,Avenida,Paes de Carvalho,1112,,,Centro,Conceição do Araguaia,1502707,PA,68540000,91,985860887,,985862820,,,,,,,,,,,,"-8,259269399999999","-49,2652371",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Concórdia do Pará,DPE,público,Jurídico,Regional,,Avenida,Costa e Silva,s/n,,,Centro,Concórdia do Pará,1502756,PA,68685000,91,993906937,,,,,,,,,,,,,,"-1,9951722","-47,9454883",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Curionópolis,DPE,público,Jurídico,Regional,,Avenida,Brasil,s/n,,,Planalto,Curionópolis,1502772,PA,68523000,91,984120286,,,,,,,,,,,,,,"-6,0985283","-49,6062042",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Curralinho,DPE,público,Jurídico,Regional,,Avenida,Floriano Peixoto,s/n,,,Centro,Curralinho,1502806,PA,68815000,91,984072733,,,,,,,,,,,,,,"-3,1298957","-60,0206598",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Curuá,DPE,público,Jurídico,Regional,,Travessa,Santo Antônio,s/n,,,Centro,Curuá,1502855,PA,68200000,93,984039663,,,,,,,,,,,,,,"-1,894196","-55,119651",
