id,status,created_on,categoria,nome,sigla,natureza,owner,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,uf,cep,ddd,telefone1,telefone2,email,horario_inicio,horario_fim,eh_24h,dias_funcionamento,eh_presencial,eh_online,funcionamento_pandemia,observacao_pandemia,avaliacao,latitude,longitude,ja_passou_por_moderacao,updated_at,observacao,qtde_avaliacao,horario_correto,delegacia_mulher,endereco_correto,telefone_correto,existe_delegacia,eh_importacao,cliente_id,indexed_at,test_status,index,geog.type,geog.coordinates,abrangencia,eh_whatsapp,ramal1,ramal2,cod_ibge,fonte
7038,active,2026-02-05T21:07:40.230472Z,583,Defensoria Pública do Estado do Pará - Abaetetuba,DPE,publico,,,Travessa,Santos Dumont,,true,,Centro,Abaetetuba,PA,68440000,91,981228261,,,,,false,,false,false,false,,,-1.7221575,-48.8826913,,2026-02-05T21:07:40.230472Z,,,,,,,,true,,,,,,,Regional,false,,,1500107,conexoes_nudems_dpes
7039,active,2026-02-05T21:07:40.231393Z,583,Defensoria Pública do Estado do Pará - Acará,DPE,publico,,,Avenida,Gov. Fernando Guilhon,7,false,,Centro,Acará,PA,68690000,91,985863848,,,,,false,,false,false,false,,,-1.958523,-48.20867550000001,,2026-02-05T21:07:40.231393Z,,,,,,,,true,,,,,,,Regional,false,,,1500206,conexoes_nudems_dpes
7040,active,2026-02-05T21:07:40.231470Z,583,Defensoria Pública do Estado do Pará - Afuá,DPE,publico,,,Praça,Albertino Baraúna,1,false,,Centro,Afuá,PA,68890000,,,,,,,false,,false,false,false,,,-0.1572135,-50.3913125,,2026-02-05T21:07:40.231470Z,,,,,,,,true,,,,,,,Regional,false,,,1500305,conexoes_nudems_dpes
7041,active,2026-02-05T21:07:40.231505Z,583,Defensoria Pública do Estado do Pará - Alenquer,DPE,publico,,,Travessa,Santo Antônio,,true,,Centro,Alenquer,PA,68200000,93,984039663,,,,,false,,false,false,false,,,-1.9535649,-54.7417641,,2026-02-05T21:07:40.231505Z,,,,,,,,true,,,,,,,Regional,false,,,1500404,conexoes_nudems_dpes
7042,active,2026-02-05T21:07:40.231545Z,583,Defensoria Pública do Estado do Pará - Altamira,DPE,publico,,,Travessa,Edilson Rodrigues de Souza,3600,false,,Esplanada do Xingu,Altamira,PA,68372170,93,981148158,,,,,false,,false,false,false,,,-3.210381,-52.2157345,,2026-02-05T21:07:40.231545Z,,,,,,,,true,,,,,,,Regional,false,,,1500602,conexoes_nudems_dpes
7043,active,2026-02-05T21:07:40.231573Z,583,Defensoria Pública do Estado do Pará - Augusto Corrêa,DPE,publico,,,Rua,Anastácio de Brito,275,false,,Cidade Nova,Augusto Corrêa,PA,68610000,91,985861496,,,,,false,,false,false,false,,,-1.0219495,-46.6414482,,2026-02-05T21:07:40.231573Z,,,,,,,,true,,,,,,,Regional,false,,,1500909,conexoes_nudems_dpes
7044,active,2026-02-05T21:07:40.231597Z,583,Defensoria Pública do Estado do Pará - Bagre,DPE,publico,,,Avenida,Barão do Rio Branco,,true,,Centro,Bagre,PA,68475000,91,985862304,,,,,false,,false,false,false,,,-1.9030055,-50.2073008,,2026-02-05T21:07:40.231597Z,,,,,,,,true,,,,,,,Regional,false,,,1501105,conexoes_nudems_dpes
7045,active,2026-02-05T21:07:40.231620Z,583,Defensoria Pública do Estado do Pará - Baião,DPE,publico,,,Praça,Santo Antônio,199,false,,Centro,Baião,PA,68465000,91,985862652,,,,,false,,false,false,false,,,-2.7907204,-49.6700627,,2026-02-05T21:07:40.231620Z,,,,,,,,true,,,,,,,Regional,false,,,1501204,conexoes_nudems_dpes
7046,active,2026-02-05T21:07:40.231646Z,583,Defensoria Pública do Estado do Pará - Barcarena,DPE,publico,,,Rua,Cantídio Nunes,986,false,,Centro,Barcarena,PA,68445000,91,984056067,,,,,false,,false,false,false,,,-1.5132618,-48.6173014,,2026-02-05T21:07:40.231646Z,,,,,,,,true,,,,,,,Regional,false,,,1501303,conexoes_nudems_dpes
7047,active,2026-02-05T21:07:40.231671Z,583,Defensoria Pública do Estado do Pará - Belterra,DPE,publico,,,Avenida,Presidente Vargas,2720,false,,Aparecida,Belterra,PA,68040060,93,35125302,,,,,false,,false,false,false,,,-2.6373944,-54.9357911,,2026-02-05T21:07:40.231671Z,,,,,,,,true,,,,,,,Regional,false,,,1501451,conexoes_nudems_dpes
7048,active,2026-02-05T21:07:40.231728Z,583,Defensoria Pública do Estado do Pará - Benevides,DPE,publico,,,Rua,João Franjas,126,false,,Centro,Benevides,PA,68795000,91,37242082,,,,,false,,false,false,false,,,-1.3633287,-48.2491488,,2026-02-05T21:07:40.231728Z,,,,,,,,true,,,,,,,Regional,false,,,1501501,conexoes_nudems_dpes
7049,active,2026-02-05T21:07:40.231756Z,583,Defensoria Pública do Estado do Pará - Bonito,DPE,publico,,,Rua,Dep. Charles Assad,374,false,,Centro,Bonito,PA,68645000,,,,,,,false,,false,false,false,,,-1.3630634,-47.3068786,,2026-02-05T21:07:40.231756Z,,,,,,,,true,,,,,,,Regional,false,,,1501600,conexoes_nudems_dpes
7050,active,2026-02-05T21:07:40.231777Z,583,Defensoria Pública do Estado do Pará - Bragança,DPE,publico,,,Rua,Doutor Roberto,695,false,,Alegre,Bragança,PA,68600000,91,981568827,,,,,false,,false,false,false,,,-1.0581501,-46.7678392,,2026-02-05T21:07:40.231777Z,,,,,,,,true,,,,,,,Regional,false,,,1501709,conexoes_nudems_dpes
7051,active,2026-02-05T21:07:40.231798Z,583,Defensoria Pública do Estado do Pará - Breu Branco,DPE,publico,,,Avenida,Belém,,true,,Centro,Breu Branco,PA,68488000,91,984145650,,,,,false,,false,false,false,,,-3.7767965,-49.5685677,,2026-02-05T21:07:40.231798Z,,,,,,,,true,,,,,,,Regional,false,,,1501782,conexoes_nudems_dpes
7052,active,2026-02-05T21:07:40.231819Z,583,Defensoria Pública do Estado do Pará - Breves,DPE,publico,,,Rua,Mário Curica,365,false,,Centro,Breves,PA,68800000,91,993507459,981199271,,,,false,,false,false,false,,,-1.6865694,-50.4855566,,2026-02-05T21:07:40.231819Z,Telefone alternativo: (91) 3783-2913,,,,,,,true,,,,,,,Regional,false,,,1501808,conexoes_nudems_dpes
7053,active,2026-02-05T21:07:40.231838Z,583,Defensoria Pública do Estado do Pará - Bujaru,DPE,publico,,,Avenida,Beira-Mar,311,false,,Centro,Bujaru,PA,68670000,,,,,,,false,,false,false,false,,,-1.520113,-48.04670429999999,,2026-02-05T21:07:40.231838Z,,,,,,,,true,,,,,,,Regional,false,,,1501907,conexoes_nudems_dpes
7054,active,2026-02-05T21:07:40.231859Z,583,Defensoria Pública do Estado do Pará - Cametá,DPE,publico,,,Rua,Trilha da Juventude Tania Lopes,,true,,Centro,Cametá,PA,68400000,91,984177708,,,,,false,,false,false,false,,,-2.2428827,-49.4985069,,2026-02-05T21:07:40.231859Z,,,,,,,,true,,,,,,,Regional,false,,,1502103,conexoes_nudems_dpes
7055,active,2026-02-05T21:07:40.231878Z,583,Defensoria Pública do Estado do Pará - Canaã dos Carajás,DPE,publico,,,Avenida,Carajás,,true,,Vale dos Sonhos,Canaã dos Carajás,PA,68537000,91,985862114,,,,,false,,false,false,false,,,-6.5548034,-49.8298756,,2026-02-05T21:07:40.231878Z,,,,,,,,true,,,,,,,Regional,false,,,1502152,conexoes_nudems_dpes
7056,active,2026-02-05T21:07:40.231898Z,583,Defensoria Pública do Estado do Pará - Capanema,DPE,publico,,,Rua,Dom Pedro II,439,false,,Centro,Capanema,PA,68700013,91,981215442,981568814,,,,false,,false,false,false,,,-1.1953249,-47.1789272,,2026-02-05T21:07:40.231898Z,,,,,,,,true,,,,,,,Regional,false,,,1502202,conexoes_nudems_dpes
7057,active,2026-02-05T21:07:40.231919Z,583,Defensoria Pública do Estado do Pará - Capitão Poço,DPE,publico,,,Avenida,29 de Dezembro,1746,false,,Centro,Capitão Poço,PA,68650000,,,,,,,false,,false,false,false,,,-1.7442504,-47.0601751,,2026-02-05T21:07:40.231919Z,,,,,,,,true,,,,,,,Regional,false,,,1502301,conexoes_nudems_dpes
7058,active,2026-02-05T21:07:40.231939Z,583,Defensoria Pública do Estado do Pará - Castanhal,DPE,publico,,,Rua,Senador Antônio Lemos,946,false,,Centro,Castanhal,PA,68745010,91,974008144,974001660,,,,false,,false,false,false,,,-1.2950682,-47.9223325,,2026-02-05T21:07:40.231939Z,Telefone alternativo: (91) 98121-7584,,,,,,,true,,,,,,,Regional,false,,,1502400,conexoes_nudems_dpes
7059,active,2026-02-05T21:07:40.231959Z,583,Defensoria Pública do Estado do Pará - Colares,DPE,publico,,,Rua,da República,115,false,,Centro,Colares,PA,68785000,,,,,,,false,,false,false,false,,,-0.9299046,-48.28649979999999,,2026-02-05T21:07:40.231959Z,,,,,,,,true,,,,,,,Regional,false,,,1502608,conexoes_nudems_dpes
